TEAM SUCCESS DRIVER TO PLAYER/GOALIE KPI MAPPING,,,,,,,,,,
,,,,,,,,,,
team_rank,team_statistic,team_category,signal_tier,direction,team_weight_pct,team_codex_key,skater_metric_or_proxy,goalie_metric_or_proxy,mapping_type,team_dashboard_note
1,xG conversion,Offensive,Tier 1 — Core Driver,↑ Higher = Better,5.867,xg_conversion,xg_per60; xg_per_shot; goals_per60 as low-weight outcome check,No direct goalie mapping.,skater_direct_or_proxy,Strongest predictor of winning in AUS. Measures how efficiently the team converts expected-goal chances into goals.
2,CORSI%,Offensive,Tier 1 — Core Driver,↑ Higher = Better,4.126,corsi_pct,corsi_for_pct_adj,No direct goalie mapping.,skater_direct_or_proxy,Even-strength shot-attempt share. Best proxy for territorial control and sustained offensive pressure at 5-on-5.
3,Scoring chances,Offensive,Tier 1 — Core Driver,↑ Higher = Better,4.1169,scoring_chances,scoring_chances_per60,scoring_chance_save_pct_adj; scoring_chances_against_per60_context,direct_or_partial,High-danger shot volume. Directly linked to goal probability. Tier 1 offensive process driver.
4,Shots on goal,Offensive,Tier 1 — Core Driver,↑ Higher = Better,3.8418,shots_on_goal,shots_on_goal_per60,shots_against_per60_context; save_pct_adj,direct_or_partial,On-net shot volume. Consistent Tier 1 predictor of offensive activity and pressure generation.
5,Net xG (xG - Opponent's xG),Offensive,Tier 1 — Core Driver,↑ Higher = Better,3.7843,net_xg,net_xg_per60,N/A direct; goalie contributes through gsae_per60,skater_direct_or_proxy,xG differential. Best combined on-ice metric — accounts for both offensive creation and defensive concession.
6,Shots,Offensive,Tier 2 — Important Driver,↑ Higher = Better,3.4347,shots_total,shots_per60 / shots_5v5_per60,No direct goalie mapping.,skater_direct_or_proxy,Total shot attempts. Strong proxy for offensive puck possession and sustained territorial pressure.
7,Opponent's xG,Defensive,Tier 2 — Important Driver,↓ Lower = Better,3.1618,opp_xg,opp_xg_on_ice_per60_inv,xg_conceded_per60_context; gsae_per60,direct_or_partial,Quality and volume of scoring chances allowed. Primary defensive process measure. Lower = better.
8,xG (Expected goals),Offensive,Tier 2 — Important Driver,↑ Higher = Better,3.0829,xg_for,xg_per60; team_xg_on_ice_per60,N/A,skater_direct_or_proxy,Cumulative expected goals generated. Volume of quality chance creation — closely paired with xG conversion.
9,Successful power play,Special Teams,Tier 2 — Important Driver,↑ Higher = Better,2.9927,pp_goals,pp_shots_per60; pp_retrievals context; goals_per60 low weight,No direct goalie mapping.,skater_direct_or_proxy,Power play goals scored. Most direct measure of man-advantage execution.
10,OZ play with shots,Offensive,Tier 2 — Important Driver,↑ Higher = Better,2.8337,oz_play_with_shots,oz_possession_per60; puck_retrievals_after_shots_per60; shots_on_goal_per60,No direct goalie mapping.,skater_direct_or_proxy,OZ possession sequences that produce a shot. Highest-quality measure of productive offensive zone time.
11,"Power play, %",Special Teams,Tier 2 — Important Driver,↑ Higher = Better,2.8112,pp_pct,special teams module only if PP attempts/TOI available,No direct goalie mapping.,skater_direct_or_proxy,PP conversion rate. Efficiency of man-advantage situations. Strong special teams predictor.
12,Entries,Offensive,Tier 2 — Important Driver,↑ Higher = Better,2.7536,zone_entries,entries_per60; entries_via_pass_per60; entries_via_stickhandling_per60,No direct goalie mapping.,skater_direct_or_proxy,Total zone entries. Drives offensive possession — more entries means more shots and more OZ time.
13,Passes to the slot,Offensive,Tier 2 — Important Driver,↑ Higher = Better,2.5687,passes_to_slot,passes_to_slot_per60,No direct goalie mapping.,skater_direct_or_proxy,Passes delivered into the high-danger slot area. Key pre-shot movement indicator. Dal priority development area.
14,Offensive play,Offensive,Tier 2 — Important Driver,↑ Higher = Better,2.4808,offensive_play_time,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,Total offensive zone possession time. Broad measure of sustained forward pressure.
15,OZ play,Offensive,Tier 2 — Important Driver,↑ Higher = Better,2.4777,oz_play,oz_possession_per60; ev_oz_retrievals_per60,No direct goalie mapping.,skater_direct_or_proxy,Offensive zone possession sequences. Correlated with controlled zone time and shot generation.
16,EV DZ retrievals,Defensive,Tier 2 — Important Driver,↓ Lower = Better,2.4672,ev_dz_retrievals,ev_dz_retrievals_context_adj,No direct goalie mapping.,skater_direct_or_proxy,Even-strength puck retrievals in own zone. Higher count signals prolonged defensive zone time. Lower = better.
17,EV OZ retrievals,Offensive,Tier 2 — Important Driver,↑ Higher = Better,2.3759,ev_oz_retrievals,ev_oz_retrievals_per60,No direct goalie mapping.,skater_direct_or_proxy,Even-strength puck retrievals in offensive zone. Reflects ability to sustain pressure and win puck battles up ice.
18,Missed shots,Offensive,Tier 2 — Important Driver,↑ Higher = Better,2.3703,missed_shots,missed_shots context; do not weight high,No direct goalie mapping.,skater_direct_or_proxy,Off-target shot volume. Reflects overall shooting activity and offensive zone presence.
19,"Short-handed, %",Special Teams,Tier 2 — Important Driver,↑ Higher = Better,2.3612,pk_pct,pk_retrievals_per60; sh_shots_per60; team PK context,No direct goalie mapping.,skater_direct_or_proxy,PK success rate. Strong predictor of special teams defensive performance.
20,Puck losses in NZ,Defensive,Tier 2 — Important Driver,↓ Lower = Better,2.3026,puck_losses_nz,puck_losses_nz_per60_inv,No direct goalie mapping.,skater_direct_or_proxy,Neutral zone turnovers. Interrupts transition and generates direct counter-attacks. Dal priority defensive gap.
21,Pre-shots passes,Offensive,Tier 2 — Important Driver,↑ Higher = Better,2.1233,pre_shot_passes,pre_shot_passes_per60,No direct goalie mapping.,skater_direct_or_proxy,Passes completed immediately before a shot. Measures pre-shot movement quality — reflects shot setup.
22,Defensive play,Defensive,Tier 2 — Important Driver,↓ Lower = Better,2.0297,defensive_play_time,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,Total defensive zone possession time. Lower = less time under pressure in own end.
23,"Accurate passes, %",Offensive,Tier 2 — Important Driver,↑ Higher = Better,1.9891,accurate_pass_pct,accurate_pass_pct_adj,No direct goalie mapping.,skater_direct_or_proxy,Pass completion rate. Reflects puck management quality and execution under pressure.
