kpi_key,name,category,weight,r_value,direction,include_in_score,cluster,notes,current_value,coaching_adjustment,display_order
xg_conversion,xG conversion,offense,5.8679,0.058670,higher_is_better,true,Tier 1 — Core Driver,Rank 1 of 58 | Tier 1 — Core Driver | Process KPI | Strongest predictor of winning in AUS. Measures how efficiently the team converts expected-goal chances into goals.,,1.0,0
corsi_pct,CORSI%,offense,4.1266,0.041260,higher_is_better,true,Tier 1 — Core Driver,Rank 2 of 58 | Tier 1 — Core Driver | Process KPI | Even-strength shot-attempt share. Best proxy for territorial control and sustained offensive pressure at 5-on-5.,,1.0,1
scoring_chances,Scoring chances,offense,4.1175,0.041169,higher_is_better,true,Tier 1 — Core Driver,Rank 3 of 58 | Tier 1 — Core Driver | Process KPI | High-danger shot volume. Directly linked to goal probability. Tier 1 offensive process driver.,,1.0,2
shots_on_goal,Shots on goal,offense,3.8424,0.038418,higher_is_better,true,Tier 1 — Core Driver,Rank 4 of 58 | Tier 1 — Core Driver | Process KPI | On-net shot volume. Consistent Tier 1 predictor of offensive activity and pressure generation.,,1.0,3
net_xg,Net xG (xG - Opponent's xG),defense,3.7849,0.037843,higher_is_better,true,Tier 1 — Core Driver,Rank 5 of 58 | Tier 1 — Core Driver | Process KPI | xG differential. Best combined on-ice metric — accounts for both offensive creation and defensive concession.,,1.0,4
shots_total,Shots,offense,3.4352,0.034347,higher_is_better,true,Tier 2 — Important Driver,Rank 6 of 58 | Tier 2 — Important Driver | Process KPI | Total shot attempts. Strong proxy for offensive puck possession and sustained territorial pressure.,,1.0,5
opp_xg,Opponent's xG,defense,3.1623,0.031618,lower_is_better,true,Tier 2 — Important Driver,Rank 7 of 58 | Tier 2 — Important Driver | Process KPI | Quality and volume of scoring chances allowed. Primary defensive process measure. Lower = better.,,1.0,6
xg_for,xG (Expected goals),offense,3.0834,0.030829,higher_is_better,true,Tier 2 — Important Driver,Rank 8 of 58 | Tier 2 — Important Driver | Process KPI | Cumulative expected goals generated. Volume of quality chance creation — closely paired with xG conversion.,,1.0,7
pp_goals,Successful power play,special_teams,2.9931,0.029927,higher_is_better,true,Tier 2 — Important Driver,Rank 9 of 58 | Tier 2 — Important Driver | Process KPI | Power play goals scored. Most direct measure of man-advantage execution.,,1.0,8
oz_play_with_shots,OZ play with shots,offense,2.8341,0.028337,higher_is_better,true,Tier 2 — Important Driver,Rank 10 of 58 | Tier 2 — Important Driver | Process KPI | OZ possession sequences that produce a shot. Highest-quality measure of productive offensive zone time.,,1.0,9
pp_pct,"Power play, %",special_teams,2.8116,0.028112,higher_is_better,true,Tier 2 — Important Driver,Rank 11 of 58 | Tier 2 — Important Driver | Process KPI | PP conversion rate. Efficiency of man-advantage situations. Strong special teams predictor.,,1.0,10
zone_entries,Entries,offense,2.7540,0.027536,higher_is_better,true,Tier 2 — Important Driver,Rank 12 of 58 | Tier 2 — Important Driver | Process KPI | Total zone entries. Drives offensive possession — more entries means more shots and more OZ time.,,1.0,11
passes_to_slot,Passes to the slot,offense,2.5691,0.025687,higher_is_better,true,Tier 2 — Important Driver,Rank 13 of 58 | Tier 2 — Important Driver | Process KPI | Passes delivered into the high-danger slot area. Key pre-shot movement indicator. Dal priority development area.,,1.0,12
offensive_play_time,Offensive play,offense,2.4812,0.024808,higher_is_better,true,Tier 2 — Important Driver,Rank 14 of 58 | Tier 2 — Important Driver | Process KPI | Total offensive zone possession time. Broad measure of sustained forward pressure.,,1.0,13
oz_play,OZ play,offense,2.4781,0.024777,higher_is_better,true,Tier 2 — Important Driver,Rank 15 of 58 | Tier 2 — Important Driver | Process KPI | Offensive zone possession sequences. Correlated with controlled zone time and shot generation.,,1.0,14
ev_dz_retrievals,EV DZ retrievals,defense,2.4676,0.024672,lower_is_better,true,Tier 2 — Important Driver,Rank 16 of 58 | Tier 2 — Important Driver | Process KPI | Even-strength puck retrievals in own zone. Higher count signals prolonged defensive zone time. Lower = better.,,1.0,15
ev_oz_retrievals,EV OZ retrievals,offense,2.3763,0.023759,higher_is_better,true,Tier 2 — Important Driver,Rank 17 of 58 | Tier 2 — Important Driver | Process KPI | Even-strength puck retrievals in offensive zone. Reflects ability to sustain pressure and win puck battles up ice.,,1.0,16
missed_shots,Missed shots,offense,2.3707,0.023703,higher_is_better,true,Tier 2 — Important Driver,Rank 18 of 58 | Tier 2 — Important Driver | Process KPI | Off-target shot volume. Reflects overall shooting activity and offensive zone presence.,,1.0,17
pk_pct,"Short-handed, %",special_teams,2.3616,0.023612,higher_is_better,true,Tier 2 — Important Driver,Rank 19 of 58 | Tier 2 — Important Driver | Process KPI | PK success rate. Strong predictor of special teams defensive performance.,,1.0,18
puck_losses_nz,Puck losses in NZ,defense,2.3029,0.023026,lower_is_better,true,Tier 2 — Important Driver,Rank 20 of 58 | Tier 2 — Important Driver | Process KPI | Neutral zone turnovers. Interrupts transition and generates direct counter-attacks. Dal priority defensive gap.,,1.0,19
pre_shot_passes,Pre-shots passes,offense,2.1236,0.021233,higher_is_better,true,Tier 2 — Important Driver,Rank 21 of 58 | Tier 2 — Important Driver | Process KPI | Passes completed immediately before a shot. Measures pre-shot movement quality — reflects shot setup.,,1.0,20
defensive_play_time,Defensive play,defense,2.0300,0.020297,lower_is_better,true,Tier 2 — Important Driver,Rank 22 of 58 | Tier 2 — Important Driver | Process KPI | Total defensive zone possession time. Lower = less time under pressure in own end.,,1.0,21
accurate_pass_pct,"Accurate passes, %",offense,1.9894,0.019891,higher_is_better,true,Tier 2 — Important Driver,Rank 23 of 58 | Tier 2 — Important Driver | Process KPI | Pass completion rate. Reflects puck management quality and execution under pressure.,,1.0,22
shot_accuracy_pct,% shots on goal,offense,1.9015,0.019012,higher_is_better,true,Tier 2 — Important Driver,Rank 24 of 58 | Tier 2 — Important Driver | Process KPI | Shot accuracy rate (shots on goal ÷ total shots). Reflects shot quality and net presence.,,1.0,23
puck_losses_dz,Puck losses in DZ,defense,1.8383,0.018380,lower_is_better,true,Tier 2 — Important Driver,Rank 25 of 58 | Tier 2 — Important Driver | Process KPI | Turnovers in own defensive zone. Creates immediate high-danger scoring opportunities for opponents.,,1.0,24
