metric_id,metric_name,app_category,Category,Cluster,r_win,abs_r_win,coaching_adjustment,weight_pct,higher_is_better,include_in_score,anomaly_threshold_pct,dal_current_value,dal_dashboard_notes
xg_conversion,xG conversion,Offensive,Offensive,Tier 1 — Core Driver,0.058670,0.058670,1.0,5.8679,True,True,20,,Rank 1 of 58 | Tier 1 — Core Driver | Process KPI | Strongest predictor of winning in AUS. Measures how efficiently the team converts expected-goal chances into goals.
corsi_pct,CORSI%,Offensive,Offensive,Tier 1 — Core Driver,0.041260,0.041260,1.0,4.1266,True,True,20,,Rank 2 of 58 | Tier 1 — Core Driver | Process KPI | Even-strength shot-attempt share. Best proxy for territorial control and sustained offensive pressure at 5-on-5.
scoring_chances,Scoring chances,Offensive,Offensive,Tier 1 — Core Driver,0.041169,0.041169,1.0,4.1175,True,True,20,,Rank 3 of 58 | Tier 1 — Core Driver | Process KPI | High-danger shot volume. Directly linked to goal probability. Tier 1 offensive process driver.
shots_on_goal,Shots on goal,Offensive,Offensive,Tier 1 — Core Driver,0.038418,0.038418,1.0,3.8424,True,True,20,,Rank 4 of 58 | Tier 1 — Core Driver | Process KPI | On-net shot volume. Consistent Tier 1 predictor of offensive activity and pressure generation.
net_xg,Net xG (xG - Opponent's xG),Offensive,Offensive,Tier 1 — Core Driver,0.037843,0.037843,1.0,3.7849,True,True,20,,Rank 5 of 58 | Tier 1 — Core Driver | Process KPI | xG differential. Best combined on-ice metric — accounts for both offensive creation and defensive concession.
shots_total,Shots,Offensive,Offensive,Tier 2 — Important Driver,0.034347,0.034347,1.0,3.4352,True,True,20,,Rank 6 of 58 | Tier 2 — Important Driver | Process KPI | Total shot attempts. Strong proxy for offensive puck possession and sustained territorial pressure.
opp_xg,Opponent's xG,Defensive,Defensive,Tier 2 — Important Driver,0.031618,0.031618,1.0,3.1623,False,True,20,,Rank 7 of 58 | Tier 2 — Important Driver | Process KPI | Quality and volume of scoring chances allowed. Primary defensive process measure. Lower = better.
xg_for,xG (Expected goals),Offensive,Offensive,Tier 2 — Important Driver,0.030829,0.030829,1.0,3.0834,True,True,20,,Rank 8 of 58 | Tier 2 — Important Driver | Process KPI | Cumulative expected goals generated. Volume of quality chance creation — closely paired with xG conversion.
pp_goals,Successful power play,Special Teams,Special Teams,Tier 2 — Important Driver,0.029927,0.029927,1.0,2.9931,True,True,20,,Rank 9 of 58 | Tier 2 — Important Driver | Process KPI | Power play goals scored. Most direct measure of man-advantage execution.
oz_play_with_shots,OZ play with shots,Offensive,Offensive,Tier 2 — Important Driver,0.028337,0.028337,1.0,2.8341,True,True,20,,Rank 10 of 58 | Tier 2 — Important Driver | Process KPI | OZ possession sequences that produce a shot. Highest-quality measure of productive offensive zone time.
pp_pct,"Power play, %",Special Teams,Special Teams,Tier 2 — Important Driver,0.028112,0.028112,1.0,2.8116,True,True,20,,Rank 11 of 58 | Tier 2 — Important Driver | Process KPI | PP conversion rate. Efficiency of man-advantage situations. Strong special teams predictor.
zone_entries,Entries,Offensive,Offensive,Tier 2 — Important Driver,0.027536,0.027536,1.0,2.7540,True,True,20,,Rank 12 of 58 | Tier 2 — Important Driver | Process KPI | Total zone entries. Drives offensive possession — more entries means more shots and more OZ time.
passes_to_slot,Passes to the slot,Offensive,Offensive,Tier 2 — Important Driver,0.025687,0.025687,1.0,2.5691,True,True,20,,Rank 13 of 58 | Tier 2 — Important Driver | Process KPI | Passes delivered into the high-danger slot area. Key pre-shot movement indicator. Dal priority development area.
offensive_play_time,Offensive play,Offensive,Offensive,Tier 2 — Important Driver,0.024808,0.024808,1.0,2.4812,True,True,20,,Rank 14 of 58 | Tier 2 — Important Driver | Process KPI | Total offensive zone possession time. Broad measure of sustained forward pressure.
oz_play,OZ play,Offensive,Offensive,Tier 2 — Important Driver,0.024777,0.024777,1.0,2.4781,True,True,20,,Rank 15 of 58 | Tier 2 — Important Driver | Process KPI | Offensive zone possession sequences. Correlated with controlled zone time and shot generation.
ev_dz_retrievals,EV DZ retrievals,Defensive,Defensive,Tier 2 — Important Driver,0.024672,0.024672,1.0,2.4676,False,True,20,,Rank 16 of 58 | Tier 2 — Important Driver | Process KPI | Even-strength puck retrievals in own zone. Higher count signals prolonged defensive zone time. Lower = better.
ev_oz_retrievals,EV OZ retrievals,Offensive,Offensive,Tier 2 — Important Driver,0.023759,0.023759,1.0,2.3763,True,True,20,,Rank 17 of 58 | Tier 2 — Important Driver | Process KPI | Even-strength puck retrievals in offensive zone. Reflects ability to sustain pressure and win puck battles up ice.
missed_shots,Missed shots,Offensive,Offensive,Tier 2 — Important Driver,0.023703,0.023703,1.0,2.3707,True,True,20,,Rank 18 of 58 | Tier 2 — Important Driver | Process KPI | Off-target shot volume. Reflects overall shooting activity and offensive zone presence.
pk_pct,"Short-handed, %",Special Teams,Special Teams,Tier 2 — Important Driver,0.023612,0.023612,1.0,2.3616,True,True,20,,Rank 19 of 58 | Tier 2 — Important Driver | Process KPI | PK success rate. Strong predictor of special teams defensive performance.
puck_losses_nz,Puck losses in NZ,Defensive,Defensive,Tier 2 — Important Driver,0.023026,0.023026,1.0,2.3029,False,True,20,,Rank 20 of 58 | Tier 2 — Important Driver | Process KPI | Neutral zone turnovers. Interrupts transition and generates direct counter-attacks. Dal priority defensive gap.
pre_shot_passes,Pre-shots passes,Offensive,Offensive,Tier 2 — Important Driver,0.021233,0.021233,1.0,2.1236,True,True,20,,Rank 21 of 58 | Tier 2 — Important Driver | Process KPI | Passes completed immediately before a shot. Measures pre-shot movement quality — reflects shot setup.
defensive_play_time,Defensive play,Defensive,Defensive,Tier 2 — Important Driver,0.020297,0.020297,1.0,2.0300,False,True,20,,Rank 22 of 58 | Tier 2 — Important Driver | Process KPI | Total defensive zone possession time. Lower = less time under pressure in own end.
