SKATER METRIC WEIGHTS — FORWARDS AND DEFENSE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
model_type,category,category_weight_pct,metric_key,display_name,source_columns_required,calculation,direction,normalization,score_method,metric_weight_in_category_pct,final_weight_pct,include_in_v1_score,sample_rule,team_success_link,notes
Forward,Offensive Creation & Shot Quality,27,xg_per60,xG / 60,xG (Expected goals); Time on ice,xG / TOI_minutes * 60,higher_is_better,per_60,position_percentile,22,5.94,1,min 100 TOI min preferred,"xG, xG For, Net xG",Core chance-quality generation metric.
Forward,Offensive Creation & Shot Quality,27,scoring_chances_per60,Scoring Chances / 60,Scoring chances - total; Time on ice,Scoring chances / TOI_minutes * 60,higher_is_better,per_60,position_percentile,18,4.86,1,min 100 TOI min,Scoring chances,Directly tied to AUS offensive success.
Forward,Offensive Creation & Shot Quality,27,shots_on_goal_per60,Shots on Goal / 60,Shots on goal; Time on ice,SOG / TOI_minutes * 60,higher_is_better,per_60,position_percentile,14,3.78,1,min 100 TOI min,Shots on goal,Rewards on-net shot pressure.
Forward,Offensive Creation & Shot Quality,27,inner_slot_shots_per60,Inner Slot Shots / 60,Inner slot shots - total; Time on ice,Inner slot shots / TOI_minutes * 60,higher_is_better,per_60,position_percentile,12,3.24,1,min 100 TOI min,"Scoring chances, xG per shot",High-danger area creation.
Forward,Offensive Creation & Shot Quality,27,passes_to_slot_per60,Passes to Slot / 60,Passes to the slot; Time on ice,Passes to slot / TOI_minutes * 60,higher_is_better,per_60,position_percentile,12,3.24,1,min 100 TOI min,"Passes to the slot, pre-shot passes",Creator/playmaker signal.
Forward,Offensive Creation & Shot Quality,27,pre_shot_passes_per60,Pre-shot Passes / 60,Pre-shots passes; Time on ice,Pre-shot passes / TOI_minutes * 60,higher_is_better,per_60,position_percentile,8,2.16,1,min 100 TOI min,Pre-shot passes,Measures setup play leading to shots.
Forward,Offensive Creation & Shot Quality,27,shots_5v5_per60,5v5 Shots / 60,Shots 5 v 5; Time on ice,5v5 shots / TOI_minutes * 60,higher_is_better,per_60,position_percentile,6,1.62,1,min 100 TOI min,Shots,Even-strength shot creation.
Forward,Offensive Creation & Shot Quality,27,goals_per60,Goals / 60,Goals; Time on ice,Goals / TOI_minutes * 60,higher_is_better,per_60,position_percentile,4,1.08,1,min 200 TOI min preferred,Goals For,Outcome stat; intentionally low weight.
Forward,Offensive Creation & Shot Quality,27,xg_per_shot,xG per Shot,xG per shot,Use provided xG per shot,higher_is_better,rate,position_percentile,4,1.08,1,min shot attempts threshold,xG per shot,Shot quality indicator.
Forward,Possession & On-Ice Impact,18,corsi_for_pct_adj,Adjusted Corsi For %,"CORSI+; CORSI-; CORSI for, %",Website calculates from CORSI+ and CORSI- with fallback to provided %.,higher_is_better,adjusted_percentage,position_percentile,28,5.04,1,min 100 Corsi events preferred,CORSI%,Best territorial proxy from team model.
Forward,Possession & On-Ice Impact,18,fenwick_for_pct_adj,Adjusted Fenwick For %,"Fenwick for; Fenwick against; Fenwick for, %",Website calculates from for/against with fallback to provided %.,higher_is_better,adjusted_percentage,position_percentile,22,3.96,1,min 75 Fenwick events preferred,Fenwick for %,Shot-share without blocks.
Forward,Possession & On-Ice Impact,18,net_xg_per60,Net xG / 60,Net xG (xG player on - opp. team's xG); Time on ice,Net xG / TOI_minutes * 60,higher_is_better,per_60,position_percentile,22,3.96,1,min 100 TOI min,Net xG,Best two-way on-ice value signal.
Forward,Possession & On-Ice Impact,18,team_xg_on_ice_per60,Team xG On Ice / 60,Team xG when on ice; Time on ice,Team xG on ice / TOI_minutes * 60,higher_is_better,per_60,position_percentile,12,2.16,1,min 100 TOI min,Team xG when on ice,Shows offensive environment when player is on.
Forward,Possession & On-Ice Impact,18,opp_xg_on_ice_per60_inv,Opponent xG On Ice / 60,Opponent's xG when on ice; Time on ice,Opponent xG on ice / TOI_minutes * 60,lower_is_better,per_60_inverted,position_percentile_inverted,8,1.44,1,min 100 TOI min,Opponent xG,Low weight for forwards; still important.
Forward,Possession & On-Ice Impact,18,oz_possession_per60,OZ Possession / 60,OZ possession; Time on ice,OZ possession / TOI_minutes * 60,higher_is_better,per_60,position_percentile,8,1.44,1,min 100 TOI min,"OZ possession, OZ play",Territory/context signal.
Forward,Transition Offense,12,entries_per60,Entries / 60,Entries; Time on ice,Entries / TOI_minutes * 60,higher_is_better,per_60,position_percentile,24,2.88,1,min 100 TOI min,Entries,Primary transition volume.
Forward,Transition Offense,12,entries_via_pass_per60,Entries via Pass / 60,Entries via pass; Time on ice,Entries via pass / TOI_minutes * 60,higher_is_better,per_60,position_percentile,20,2.4,1,min 100 TOI min,Entries,Rewards puck movement entries.
Forward,Transition Offense,12,entries_via_stickhandling_per60,Entries via Stickhandling / 60,Entries via stickhandling; Time on ice,Entries via stickhandling / TOI_minutes * 60,higher_is_better,per_60,position_percentile,15,1.8,1,min 100 TOI min,Entries,Controlled carry-entry skill.
Forward,Transition Offense,12,entries_via_dumpin_per60_context,Entries via Dump-In / 60,Entries via dump in; Time on ice,Entries via dump in / TOI_minutes * 60,context_dependent,per_60_context,context_percentile,5,0.6,1,min 100 TOI min,Dump-ins,Context only; not automatically good/bad.
Forward,Transition Offense,12,counter_attack_shots_per60,Counter-Attack Shots / 60,Counter-attack shots; Time on ice,Counter-attack shots / TOI_minutes * 60,higher_is_better,per_60,position_percentile,13,1.56,1,min 100 TOI min,"Shots, entries",Rush offense indicator.
Forward,Transition Offense,12,breakouts_via_pass_per60,Breakouts via Pass / 60,Breakouts via pass; Time on ice,Breakouts via pass / TOI_minutes * 60,higher_is_better,per_60,position_percentile,13,1.56,1,min 100 TOI min,Breakouts,Forward support on exits.
Forward,Transition Offense,12,pass_receptions_per60,Pass Receptions / 60,Pass receptions; Time on ice,Pass receptions / TOI_minutes * 60,higher_is_better,per_60,position_percentile,10,1.2,1,min 100 TOI min,Possession support,Availability/support proxy.
Forward,Puck Management,14,puck_losses_per60_inv,Puck Losses / 60,Puck losses; Time on ice,Puck losses / TOI_minutes * 60,lower_is_better,per_60_inverted,position_percentile_inverted,22,3.08,1,min 100 TOI min,Puck losses,Primary risk metric.
Forward,Puck Management,14,puck_losses_nz_per60_inv,NZ Puck Losses / 60,Puck losses in NZ; Time on ice,NZ losses / TOI_minutes * 60,lower_is_better,per_60_inverted,position_percentile_inverted,20,2.8,1,min 100 TOI min,Puck losses in NZ,Transition killer.
